state,fips,state_abb,year,secondary,adj_primary,adj_secondary_primary,primary,violentcrimerate_ce,propcrimerate_ce,pctblack,pcthisp,medinc,age,dieseltax,gastax,state_abbrev,fatal,fatal_occupant,fatal_non_occupant,vmt_rural,vmt_urban,vmt_total,rate_occupant,rate_non_occupant,speed65,speed70,mlda21,bac8,rearsecondary,mv_registrations,rural_miles,urban_miles,rate,secondary_primary,unemprate,automobiles,buses,trucks,total,motorcycle,urban_den,rural_den,ln_pctblack,ln_pcthisp,ln_medinc,ln_age,ln_gastax,ln_violentcrimerate,ln_propcrimerate,ln_unemprate,ln_ruralvmt,ln_urbanvmt,ln_ruralden,ln_urbanden,adj_occrate,adj_nonoccrate,ln_adjocrat,ln_adjnonocrat
alabama,1,AL,1983,0,0,0,0,1.3110001,36.849998,24.899643,.73564488,9906,33.627533,12,11,AL,930,808,122,16415,14617,31032,26.037638,3.9314256,0,0,0,0,0,3144769,73607,13991,,0,13.81666666666666,2271950,8503,864316,3144769,72506,162.38654,30.86595,3.2148535,-.30700779,9.2008963,3.5153451,2.3978953,.27079028,3.6068556,2.6258757,9.7059507,9.5899401,3.4296536,5.0899796,.026037637,.0039314255,-3.6482122,-5.538753
alaska,2,AK,1983,0,0,0,0,2.1239998,54.048,3.7168081,2.5098965,19478,27.676001,8,8,AK,150,126,24,2117,1241,3358,37.522335,7.1471114,0,0,0,0,0,350488,7435,1337,,0,10.1,218673,1692,130123,350488,10579,163.55498,29.411299,1.3128653,.92024153,9.8770409,3.3205657,2.0794415,.75330102,3.9898725,2.3125355,7.6577554,7.123673,3.3813789,5.0971494,.037522335,.0071471115,-3.282819,-4.9410472
arizona,4,AZ,1983,0,0,0,0,1.8150001,58.973999,2.8359153,16.244223,11941,33.541195,12,12,AZ,675,541,134,10602,9951,20553,26.322191,6.5197296,0,0,0,0,0,2289476,67434,8900,,0,9.108333333333333,1634258,4509,650709,2289476,89429,183.6245,24.234926,1.0423647,2.7877374,9.3877335,3.5127745,2.4849067,.59608549,4.0770965,2.2091897,9.2687979,9.2054281,3.1877949,5.212893,.026322192,.0065197297,-3.6373429,-5.0329223
arkansas,5,AR,1983,0,0,0,0,1.021,32.028999,15.844926,.75910163,9513,34.840019,10.5,9.5,AR,557,497,60,10997,5687,16684,29.789019,3.5962598,0,0,1,0,0,1445471,69556,7497,,0,9.699999999999999,938180,3720,500358,1442258,23804,125.14072,13.488125,2.7628493,-.27561963,9.1604147,3.5507667,2.2512918,.020782566,3.4666417,2.272126,9.305378,8.6459379,2.6018097,4.8294387,.029789019,.0035962597,-3.5136154,-5.627861
california,6,CA,1983,0,0,0,0,3.994,59.049,7.5345821,20.516926,14582,33.159294,9,9,CA,4573,3629,944,42394,140258,182652,19.868383,5.1682982,0,0,1,0,0,17766759,110330,63703,,0,9.824999999999999,13935390,33443,3797926,17766759,705106,218.75563,126.30644,2.0195034,3.0212502,9.5875435,3.501323,2.1972246,1.3847933,4.0783677,2.2849302,10.654762,11.851239,4.8387113,5.3879552,.019868383,.0051682983,-3.9186256,-5.2652116
colorado,8,CO,1983,0,0,0,0,1.747,61.507,3.6766465,11.72528,13944,32.03157,13,12,CO,646,548,98,10601,14247,24848,22.054089,3.9439795,0,0,0,0,0,2648868,64503,10920,,0,7.116666666666666,1939178,5666,704024,2648868,118494,177.5804,30.063377,1.302001,2.4617472,9.5428047,3.466722,2.4849067,.55790001,4.1191511,1.9624394,9.2687035,9.5643015,3.4033077,5.1794233,.022054089,.0039439793,-3.8142571,-5.5355649
connecticut,9,CT,1983,0,0,0,0,2.247,46.028,7.2124562,4.5666423,15798,35.447384,14,14,CT,438,368,70,4923,15707,20630,17.8381,3.3931167,0,0,0,0,0,2305102,8876,10658,,0,6.008333333333333,2149351,8994,146757,2305102,76405,201.66551,242.15311,1.9758096,1.5187782,9.6676388,3.5680494,2.6390574,.809596,3.8292499,1.7931474,8.5016737,9.6618614,5.4895701,5.3066106,.0178381,.0033931166,-4.0264187,-5.6860065
delaware,10,DE,1983,0,0,0,0,1.572,50.129002,16.012053,1.7924614,13431,33.641872,11,11,DE,110,90,20,2153,2733,4886,18.419975,4.093328,0,0,0,0,0,426803,3774,1506,,0,7.899999999999999,342205,1602,82996,426803,10657,227.22775,90.674355,2.7733417,.58358973,9.5053205,3.5157714,2.3978953,.45234871,3.9145997,2.0668628,7.6746173,7.9131551,4.5072746,5.4259529,.018419975,.004093328,-3.9943197,-5.4983969
district of columbia,11,DC,1983,0,0,0,0,13.301999,73.584,67.920631,3.4423084,16117,35.145405,14.8,14.8,DC,66,43,23,0,3099,3099,13.875443,7.4217491,0,0,0,0,0,232725,0,1102,,0,10.9,276884,2788,15638,295310,6207,251.25591,0,4.2183399,1.2361423,9.6876297,3.5594938,2.6946273,2.5879142,4.2984276,2.3887627,0,8.0388346,0,5.5264721,.013875443,.0074217492,-4.2776346,-4.9033403
florida,12,FL,1983,0,0,0,0,3.23,59.543999,12.970082,9.6320333,12846,37.928711,9.699999999999999,9.699999999999999,FL,2686,1983,703,27214,54562,81776,24.249168,8.5966539,0,0,0,0,0,8808486,62581,30493,,0,8.641666666666667,7113942,33276,1661268,8808486,232488,233.29755,113.67575,2.5626454,2.2650943,9.4607878,3.6357083,2.272126,1.1724821,4.0867157,2.1565955,10.211487,10.907093,4.7333503,5.4523149,.024249168,.0085966541,-3.719373,-4.756382
