fips,year,pop_check1,state_abbrev,state_name
1,1969,2176098,AL,ALABAMA
1,1970,2219130,AL,ALABAMA
1,1971,2262883,AL,ALABAMA
1,1972,2310964,AL,ALABAMA
1,1973,2360294,AL,ALABAMA
1,1974,2414834,AL,ALABAMA
1,1975,2473680,AL,ALABAMA
1,1976,2536773,AL,ALABAMA
1,1977,2592108,AL,ALABAMA
1,1978,2650425,AL,ALABAMA
1,1979,2699240,AL,ALABAMA
1,1980,2741148,AL,ALABAMA
1,1981,2776476,AL,ALABAMA
1,1982,2804144,AL,ALABAMA
1,1983,2828239,AL,ALABAMA
1,1984,2856783,AL,ALABAMA
1,1985,2882468,AL,ALABAMA
1,1986,2903431,AL,ALABAMA
1,1987,2930421,AL,ALABAMA
1,1988,2945967,AL,ALABAMA
1,1989,2961960,AL,ALABAMA
1,1990,3000014,AL,ALABAMA
1,1991,3038362,AL,ALABAMA
1,1992,3081141,AL,ALABAMA
1,1993,3128596,AL,ALABAMA
1,1994,3163049,AL,ALABAMA
1,1995,3186247,AL,ALABAMA
1,1996,3219010,AL,ALABAMA
1,1997,3245042,AL,ALABAMA
1,1998,3286449,AL,ALABAMA
1,1999,3308854,AL,ALABAMA
1,2000,3329900,AL,ALABAMA
1,2001,3347225,AL,ALABAMA
1,2002,3363499,AL,ALABAMA
1,2003,3390408,AL,ALABAMA
1,2004,3417067,AL,ALABAMA
1,2005,3449678,AL,ALABAMA
1,2006,3502183,AL,ALABAMA
1,2007,3540544,AL,ALABAMA
1,2008,3583279,AL,ALABAMA
1,2009,3623746,AL,ALABAMA
1,2010,3655075,AL,ALABAMA
1,2011,3675689,AL,ALABAMA
1,2012,3699663,AL,ALABAMA
1,2013,3721314,AL,ALABAMA
1,2014,3737520,AL,ALABAMA
1,2015,3751644,AL,ALABAMA
1,2016,3766363,AL,ALABAMA
1,2017,3781412,AL,ALABAMA
1,2018,3799029,AL,ALABAMA
1,2019,3819238,AL,ALABAMA
1,2020,3834249,AL,ALABAMA
2,1969,176173,AK,ALASKA
2,1970,184626,AK,ALASKA
2,1971,193098,AK,ALASKA
2,1972,201487,AK,ALASKA
2,1973,207927,AK,ALASKA
2,1974,217593,AK,ALASKA
2,1975,236310,AK,ALASKA
2,1976,253556,AK,ALASKA
2,1977,259989,AK,ALASKA
2,1978,265915,AK,ALASKA
2,1979,269969,AK,ALASKA
2,1980,273288,AK,ALASKA
2,1981,283402,AK,ALASKA
2,1982,306332,AK,ALASKA
2,1983,333694,AK,ALASKA
2,1984,350145,AK,ALASKA
2,1985,360526,AK,ALASKA
2,1986,366691,AK,ALASKA
2,1987,361359,AK,ALASKA
2,1988,367199,AK,ALASKA
2,1989,373659,AK,ALASKA
2,1990,375788,AK,ALASKA
2,1991,388013,AK,ALASKA
2,1992,403858,AK,ALASKA
2,1993,412242,AK,ALASKA
2,1994,415869,AK,ALASKA
2,1995,419422,AK,ALASKA
2,1996,423209,AK,ALASKA
2,1997,424688,AK,ALASKA
2,1998,427296,AK,ALASKA
2,1999,433357,AK,ALASKA
2,2000,437348,AK,ALASKA
2,2001,444943,AK,ALASKA
2,2002,453855,AK,ALASKA
2,2003,461571,AK,ALASKA
2,2004,472951,AK,ALASKA
2,2005,481642,AK,ALASKA
2,2006,489722,AK,ALASKA
2,2007,495956,AK,ALASKA
2,2008,504331,AK,ALASKA
2,2009,512544,AK,ALASKA
2,2010,525960,AK,ALASKA
2,2011,533709,AK,ALASKA
2,2012,542313,AK,ALASKA
2,2013,549149,AK,ALASKA
2,2014,550083,AK,ALASKA
2,2015,552063,AK,ALASKA
2,2016,555432,AK,ALASKA
2,2017,555254,AK,ALASKA
2,2018,553435,AK,ALASKA
2,2019,553161,AK,ALASKA
2,2020,552427,AK,ALASKA
4,1969,1073710,AZ,ARIZONA
4,1970,1147256,AZ,ARIZONA
4,1971,1221685,AZ,ARIZONA
4,1972,1309253,AZ,ARIZONA
4,1973,1400364,AZ,ARIZONA
4,1974,1481059,AZ,ARIZONA
4,1975,1539267,AZ,ARIZONA
4,1976,1602624,AZ,ARIZONA
4,1977,1676550,AZ,ARIZONA
4,1978,1757936,AZ,ARIZONA
4,1979,1859096,AZ,ARIZONA
4,1980,1944551,AZ,ARIZONA
4,1981,2016590,AZ,ARIZONA
4,1982,2089627,AZ,ARIZONA
4,1983,2158454,AZ,ARIZONA
4,1984,2235213,AZ,ARIZONA
4,1985,2321728,AZ,ARIZONA
4,1986,2420613,AZ,ARIZONA
4,1987,2514162,AZ,ARIZONA
4,1988,2590068,AZ,ARIZONA
4,1989,2649034,AZ,ARIZONA
4,1990,2678057,AZ,ARIZONA
4,1991,2760291,AZ,ARIZONA
4,1992,2860168,AZ,ARIZONA
4,1993,2971207,AZ,ARIZONA
4,1994,3125232,AZ,ARIZONA
4,1995,3259108,AZ,ARIZONA
4,1996,3371655,AZ,ARIZONA
4,1997,3499831,AZ,ARIZONA
4,1998,3597548,AZ,ARIZONA
4,1999,3691427,AZ,ARIZONA
4,2000,3787172,AZ,ARIZONA
4,2001,3874462,AZ,ARIZONA
4,2002,3968317,AZ,ARIZONA
4,2003,4056693,AZ,ARIZONA
4,2004,4167950,AZ,ARIZONA
4,2005,4309909,AZ,ARIZONA
4,2006,4454274,AZ,ARIZONA
4,2007,4559786,AZ,ARIZONA
4,2008,4651711,AZ,ARIZONA
4,2009,4715811,AZ,ARIZONA
4,2010,4780903,AZ,ARIZONA
4,2011,4857125,AZ,ARIZONA
4,2012,4939075,AZ,ARIZONA
4,2013,5015910,AZ,ARIZONA
4,2014,5108215,AZ,ARIZONA
4,2015,5203045,AZ,ARIZONA
4,2016,5308398,AZ,ARIZONA
4,2017,5409363,AZ,ARIZONA
4,2018,5525571,AZ,ARIZONA
4,2019,5650116,AZ,ARIZONA
4,2020,5774978,AZ,ARIZONA
5,1969,1242548,AR,ARKANSAS
5,1970,1275066,AR,ARKANSAS
5,1971,1307850,AR,ARKANSAS
5,1972,1347196,AR,ARKANSAS
5,1973,1383853,AR,ARKANSAS
5,1974,1421843,AR,ARKANSAS
5,1975,1470397,AR,ARKANSAS
5,1976,1491387,AR,ARKANSAS
5,1977,1529817,AR,ARKANSAS
5,1978,1564239,AR,ARKANSAS
5,1979,1595440,AR,ARKANSAS
5,1980,1619302,AR,ARKANSAS
5,1981,1633060,AR,ARKANSAS
5,1982,1645946,AR,ARKANSAS
5,1983,1665525,AR,ARKANSAS
5,1984,1683122,AR,ARKANSAS
5,1985,1692341,AR,ARKANSAS
5,1986,1701278,AR,ARKANSAS
5,1987,1712173,AR,ARKANSAS
5,1988,1714938,AR,ARKANSAS
5,1989,1722117,AR,ARKANSAS
5,1990,1735653,AR,ARKANSAS
5,1991,1756932,AR,ARKANSAS
5,1992,1777715,AR,ARKANSAS
5,1993,1812829,AR,ARKANSAS
5,1994,1840177,AR,ARKANSAS
5,1995,1867728,AR,ARKANSAS
5,1996,1894197,AR,ARKANSAS
5,1997,1920887,AR,ARKANSAS
5,1998,1942652,AR,ARKANSAS
5,1999,1969920,AR,ARKANSAS
5,2000,1998210,AR,ARKANSAS
5,2001,2011965,AR,ARKANSAS
5,2002,2027129,AR,ARKANSAS
5,2003,2045237,AR,ARKANSAS
5,2004,2066520,AR,ARKANSAS
5,2005,2091310,AR,ARKANSAS
5,2006,2123919,AR,ARKANSAS
5,2007,2145913,AR,ARKANSAS
5,2008,2168829,AR,ARKANSAS
5,2009,2188957,AR,ARKANSAS
5,2010,2210348,AR,ARKANSAS
5,2011,2229331,AR,ARKANSAS
5,2012,2241551,AR,ARKANSAS
5,2013,2251221,AR,ARKANSAS
5,2014,2261321,AR,ARKANSAS
5,2015,2272853,AR,ARKANSAS
5,2016,2285361,AR,ARKANSAS
5,2017,2297903,AR,ARKANSAS
5,2018,2308535,AR,ARKANSAS
5,2019,2319668,AR,ARKANSAS
5,2020,2330808,AR,ARKANSAS
6,1969,13093631,CA,CALIFORNIA
6,1970,13397348,CA,CALIFORNIA
6,1971,13707236,CA,CALIFORNIA
6,1972,14006200,CA,CALIFORNIA
6,1973,14344145,CA,CALIFORNIA
6,1974,14706500,CA,CALIFORNIA
6,1975,15115094,CA,CALIFORNIA
6,1976,15545710,CA,CALIFORNIA
6,1977,15979936,CA,CALIFORNIA
6,1978,16460906,CA,CALIFORNIA
6,1979,16893320,CA,CALIFORNIA
6,1980,17393366,CA,CALIFORNIA
6,1981,17848618,CA,CALIFORNIA
6,1982,18301912,CA,CALIFORNIA
6,1983,18737088,CA,CALIFORNIA
6,1984,19130212,CA,CALIFORNIA
6,1985,19580060,CA,CALIFORNIA
6,1986,20061864,CA,CALIFORNIA
6,1987,20548512,CA,CALIFORNIA
6,1988,21052820,CA,CALIFORNIA
6,1989,21605832,CA,CALIFORNIA
6,1990,21979014,CA,CALIFORNIA
6,1991,22225132,CA,CALIFORNIA
6,1992,22535012,CA,CALIFORNIA
6,1993,22650118,CA,CALIFORNIA
6,1994,22694376,CA,CALIFORNIA
6,1995,22776004,CA,CALIFORNIA
6,1996,22939316,CA,CALIFORNIA
6,1997,23350652,CA,CALIFORNIA
6,1998,23824436,CA,CALIFORNIA
6,1999,24291326,CA,CALIFORNIA
6,2000,24720888,CA,CALIFORNIA
6,2001,25153992,CA,CALIFORNIA
6,2002,25506700,CA,CALIFORNIA
6,2003,25848564,CA,CALIFORNIA
6,2004,26156080,CA,CALIFORNIA
6,2005,26422378,CA,CALIFORNIA
6,2006,26650318,CA,CALIFORNIA
6,2007,26914692,CA,CALIFORNIA
6,2008,27282716,CA,CALIFORNIA
6,2009,27666728,CA,CALIFORNIA
6,2010,28038944,CA,CALIFORNIA
6,2011,28391168,CA,CALIFORNIA
6,2012,28750032,CA,CALIFORNIA
6,2013,29094984,CA,CALIFORNIA
6,2014,29450726,CA,CALIFORNIA
6,2015,29785476,CA,CALIFORNIA
6,2016,30060644,CA,CALIFORNIA
6,2017,30287696,CA,CALIFORNIA
6,2018,30462986,CA,CALIFORNIA
6,2019,30556506,CA,CALIFORNIA
6,2020,30576844,CA,CALIFORNIA
8,1969,1386428,CO,COLORADO
8,1970,1449781,CO,COLORADO
8,1971,1514093,CO,COLORADO
8,1972,1597126,CO,COLORADO
8,1973,1675492,CO,COLORADO
8,1974,1725311,CO,COLORADO
8,1975,1774709,CO,COLORADO
8,1976,1830122,CO,COLORADO
8,1977,1894484,CO,COLORADO
8,1978,1963107,CO,COLORADO
8,1979,2039143,CO,COLORADO
8,1980,2098145,CO,COLORADO
8,1981,2159933,CO,COLORADO
8,1982,2231874,CO,COLORADO
8,1983,2288389,CO,COLORADO
8,1984,2319797,CO,COLORADO
8,1985,2350270,CO,COLORADO
8,1986,2371034,CO,COLORADO
8,1987,2385776,CO,COLORADO
